Name,City,RatingStars,OpeningTime
Rioja Doncaster,Doncaster,6.0,2020-11-08T12:00:00
La Rustica,Doncaster,6.0,2020-11-08T17:00:00
Cafe on the Corner,Doncaster,6.0,2020-11-09T07:30:00
Java Cafe,Doncaster,6.0,2020-11-09T09:00:00
Scrapes Rolled Ice Cream & Dessert Parlour,Doncaster,5.75,2020-11-13T15:00:00
KIKI Chinese Takeaway,Doncaster,5.73,2020-11-08T16:30:00
Indian Food Hawker,Doncaster,5.65,2020-11-08T11:00:00
The Rustic Pizza Co,Doncaster,5.59,2020-11-13T15:00:00
La Familia,Doncaster,5.57,2020-11-08T16:00:00
Firehouse,Doncaster,5.57,2020-11-08T14:00:00
The Chandelier Mexican and Latin Grill,Doncaster,5.54,2020-11-08T16:00:00
Pizza Love,Doncaster,5.51,2020-11-08T17:00:00
Taste Peru,Doncaster,5.49,2020-11-08T11:00:00
Pizza Deluxe,South Yorkshire,5.48,2020-11-08T16:45:00
Top Meal,Doncaster,5.46,2020-11-08T15:00:00
Gurkha Lounge,Doncaster,5.44,2020-11-08T17:00:00
Olde Castle,Doncaster,5.43,2020-11-08T11:30:00
Eat Thai Café,Doncaster,5.43,2020-11-08T17:00:00
The Greedy Greek Deli,Sheffield,5.42,2020-11-08T11:00:00
Pizza Arden,Doncaster,5.4,2020-11-08T16:30:00
Devon's Kitchen,Bentley,5.36,2020-11-10T17:00:00
Pizza Top,Doncaster,5.34,2020-11-08T16:30:00
Greggs - Doncaster Baxter,Doncaster,5.32,2020-11-08T08:00:00
Stephen's Golden Cod,Doncaster,5.31,2020-11-09T11:45:00
Papa Dinos,Doncaster,5.29,2020-11-08T17:00:00
Pizza King,Doncaster,5.28,2020-11-08T16:30:00
Spice Valley,Doncaster,5.27,2020-11-08T17:30:00
Sicilian Pizza,Doncaster,5.26,2020-11-08T16:30:00
Fish King,Doncaster,5.26,2020-11-09T11:30:00
Black Olive Pizzeria,Doncaster,5.25,2020-11-08T17:00:00
Noodles Bar & Coffee Shop,Doncaster,5.25,2020-11-08T11:30:00
Bella Pizza Bentley,Doncaster,5.25,2020-11-08T16:30:00
Lonsdale Fisheries,Doncaster,5.25,2020-11-09T16:00:00
Sultans,Doncaster,5.23,2020-11-08T16:45:00
5 Wonders,Doncaster,5.23,2020-11-08T16:00:00
The Grind,Doncaster,5.22,2020-11-08T14:00:00
Greggs - Armthorpe,Armthorpe,5.22,2020-11-08T07:00:00
Movida Go,Doncaster,5.2,2020-11-08T16:00:00
Pizza Napoli,Doncaster,5.19,2020-11-08T16:00:00
Fairway Chinese Takeaway.,Doncaster,5.19,2020-11-08T17:00:00
Pizza Crazy,Doncaster,5.18,2020-11-08T16:45:00
Legends Desserts And Burger Bar,Doncaster,5.18,2020-11-08T16:00:00
Carr Hill Cafe,Balby Carr Bank Doncaster,5.18,2020-11-08T14:30:00
Ciao Coffee and Desserts,Doncaster,5.17,2020-11-08T13:00:00
Desi Roti,Doncaster,5.17,2020-11-08T17:00:00
Munchez,Doncaster,5.14,2020-11-08T17:00:00
SiSi Pizza,Doncaster,5.13,2020-11-08T16:30:00
Crazy Cravings,Doncaster,5.13,2020-11-08T11:45:00
Cusworth Pizza,Doncaster,5.12,2020-11-08T16:00:00
Pizzeria Milano,Doncaster,5.11,2020-11-08T16:00:00
The Filling Station Cafe Diner,Doncaster,5.09,2020-11-08T08:30:00
Lotus Authentic Indian Spices,Warmsworth,5.09,2020-11-08T17:00:00
Alverley Express,Doncaster,5.09,2020-11-08T16:00:00
Kelseys Coffee Shop & Take Away,Doncaster,5.08,2020-11-08T08:00:00
JL Balkanik Food,Doncaster,5.06,2020-11-08T16:00:00
Doncaster Tandoori,Doncaster,5.01,2020-11-08T17:15:00
Wonderful 2,Doncaster,5.01,2020-11-08T17:30:00
Marios Pizzas,Goole,5.0,2020-11-08T14:00:00
Poppadom,Doncaster,4.97,2020-11-08T17:00:00
China Garden,Doncaster,4.96,2020-11-08T16:45:00
Joe's Plaice,South Yorkshire,4.96,2020-11-08T17:00:00
Goa Indian Takeaway,Doncaster,4.94,2020-11-08T15:30:00
Taste of China,Doncaster,4.94,2020-11-08T17:00:00
Sarah's Desserts,Doncaster,4.94,2020-11-08T18:00:00
Luciano Pizzeria,South Yorkshire,4.92,2020-11-08T17:00:00
"Greggs - Doncaster, Lakeside Village",Doncaster,4.89,2020-11-08T11:00:00
Ruchi Indian Takeaway,Doncaster,4.89,2020-11-08T17:00:00
Palace Tandoori,Doncaster,4.88,2020-11-08T17:00:00
Krispy Fried Chicken,Doncaster,4.86,2020-11-08T15:45:00
Subway - Lakeside Bouvlevard,Doncaster,4.85,2020-11-08T12:00:00
Birdbox - Doncaster,Doncaster,4.84,2020-11-08T12:00:00
Red Tomato Pizza & Pasta,Doncaster,4.84,2020-11-08T16:30:00
The Bangla Chef,Doncaster,4.84,2020-11-08T18:00:00
Ciao Pizzeria,Doncaster,4.83,2020-11-08T13:30:00
Subway® - 44 High Street,Doncaster,4.83,2020-11-08T12:00:00
Zaytuna Falafel Bar,Doncaster,4.81,2020-11-08T10:00:00
Shimla Restaurant & Takeaway,South Yorkshire,4.81,2020-11-08T17:30:00
Farmhouse Inns - Woodfield Farm (Balby),Doncaster,4.81,2020-11-08T12:00:00
Happy Cow,Doncaster,4.79,2020-11-09T08:00:00
Saffron,Doncaster,4.79,2020-11-08T17:30:00
Shabir’s Restaurant,Doncaster,4.78,2020-11-08T16:00:00
Posh Pizza,Doncaster,4.77,2020-11-08T15:45:00
Rice and Spice,Doncaster,4.76,2020-11-08T15:30:00
Smith's Cafe,Doncaster,4.75,2020-11-08T09:00:00
Massimo Doncaster,Doncaster,4.74,2020-11-08T15:00:00
Bella Pizza Cantley,Doncaster,4.73,2020-11-08T16:30:00
Pitta Pan,Armthorpe,4.73,2020-11-08T16:00:00
Daisy's Deli,Doncaster,4.72,2020-11-08T08:00:00
Tasty Wok,Doncaster,4.71,2020-11-08T17:00:00
Burger Jim,Doncaster,4.67,2020-11-08T16:45:00
Big Dee,Doncaster,4.67,2020-11-08T16:30:00
Seng Lee,Doncaster,4.66,2020-11-08T17:00:00
The Harewood,Doncaster,4.65,0001-01-01T00:00:00
Cyprus Garden,Doncaster,4.64,2020-11-08T16:30:00
Super Fryer,Doncaster,4.61,2020-11-08T12:00:00
Deano's Kebabs & Pizzas,Doncaster,4.61,2020-11-08T16:00:00
Rio's Pizza,Doncaster,4.6,2020-11-08T16:00:00
Caldo Pizza,Doncaster,4.6,2020-11-08T16:00:00
Sunday Lunch Delivery Service,Doncaster,4.58,2020-11-08T10:00:00
CK 's Catering,Doncaster,4.57,2020-11-08T09:30:00
Famous Sams,Edlington,4.56,2020-11-08T15:45:00
Mozzarellas,Doncaster,4.56,2020-11-08T16:00:00
Spices,Doncaster,4.55,2020-11-08T15:30:00
Indian Cuisine,Doncaster,4.52,2020-11-08T16:30:00
Frankie & Benny's - Doncaster,Doncaster,4.51,2020-11-08T12:00:00
KFC Doncaster - Lakeside Factory Outlet,Doncaster,4.5,2020-11-08T11:00:00
Khans Balti House,Doncaster,4.48,2020-11-08T16:30:00
Subway- Milestone Drive,Doncaster,4.48,2020-11-08T12:00:00
Subway - Barnsley Rd,Doncaster,4.45,2020-11-08T11:00:00
Efes Pizza & Kebab House,Doncaster,4.44,2020-11-08T17:00:00
Papa John's - Doncaster,Doncaster,4.44,2020-11-08T11:00:00
Poppadoms & Cream,Doncaster,4.43,2020-11-08T16:30:00
Stacks - Doncaster,Doncaster,4.43,2020-11-08T12:00:00
Toby Carvery - Bessacarr,South Yorkshire,4.42,2020-11-08T08:00:00
Greggs - Doncaster,Doncaster,4.39,2020-11-08T09:00:00
Subway® - Woodfield Plantation,Doncaster,4.37,2020-11-08T12:00:00
Pizza Hut Delivery Doncaster,Doncaster,4.36,2020-11-08T11:30:00
Toby Carvery - Edenthorpe,Edenthorpe,4.33,2020-11-08T08:00:00
Subway - Thorne Road,Edenthorpe,4.3,2020-11-08T08:00:00
KFC Doncaster - York Road,Doncaster,4.29,2020-11-08T11:00:00
KFC Doncaster - Thorne Road,Doncaster,4.28,2020-11-08T11:00:00
China Wok,Doncaster,4.28,2020-11-08T17:00:00
KFC Doncaster - Frenchgate Interchange,Doncaster,4.25,2020-11-08T11:00:00
Burger King - Doncaster,Doncaster,4.24,2020-11-08T11:00:00
Subway® - 32 Baxter Gate,Doncaster,4.23,2020-11-08T09:00:00
Fridays - Doncaster,Doncaster,4.21,2020-11-08T12:00:00
Red Dragon Chinese Takeaway,Doncaster,4.12,2020-11-08T16:45:00
Yes Express,Doncaster,4.1,2020-11-08T17:00:00
KFC Doncaster - High Street,Doncaster,4.09,2020-11-08T11:00:00
Taco Bell - Herten Triangle,Doncaster,4.04,2020-11-08T11:00:00
Krispy Kreme - Doncaster,Doncaster,3.97,2020-11-08T10:00:00
Pizza Hut Restaurants - Doncaster Carr,Doncaster,3.97,2020-11-08T11:30:00
Moo Lab,Doncaster,3.94,2020-11-08T17:15:00
Dixy Chicken,Doncaster,3.93,2020-11-08T11:20:00
Pizza Jim,Doncaster,3.86,2020-11-08T16:30:00
Addiction,Doncaster,3.78,2020-11-08T17:00:00
Burger King - Doncaster Frenchgate,Doncaster,3.7,2020-11-08T10:00:00
Rio's Chicken Basket,Doncaster,3.65,2020-11-08T16:00:00
Devonly Pies - Doncaster,Doncaster,3.47,2020-11-08T12:00:00
Harry Ramsden - Doncaster,Doncaster,3.18,2020-11-08T13:00:00
CLUXXX IT - Doncaster,Doncaster,3.17,2020-11-08T12:00:00
Taco Bell - Frenchgate,Doncaster,3.07,2020-11-08T10:00:00
All Things Nice,Doncaster,0.0,2020-11-09T17:00:00
